Date,Close SPX,Close XLK,Price Relative
12/28/2014,2058.2,41.27,0.020051501
12/21/2014,2088.77,42.32,0.020260728
12/14/2014,2070.65,41.57,0.020075822
12/7/2014,2002.33,40.62,0.020286366
11/30/2014,2075.37,42.12,0.020295176
11/23/2014,2067.56,42.49,0.020550794
11/16/2014,2063.5,41.67,0.020193845
11/9/2014,2039.82,41.61,0.020398859
11/2/2014,2031.92,40.84,0.020099217
10/26/2014,2018.05,40.54,0.020088699
10/19/2014,1964.58,39.25,0.019978825
10/12/2014,1886.76,37.65,0.019954843
10/5/2014,1906.13,38.05,0.019961912
9/28/2014,1967.9,39.58,0.020112811
9/21/2014,1982.85,39.79,0.020067075
9/14/2014,2010.4,40.34,0.020065659
9/7/2014,1985.54,40.22,0.020256454
8/31/2014,2007.71,40.29,0.020067639
8/24/2014,2003.37,40.28,0.020106121
8/17/2014,1988.4,40.11,0.020171998
8/10/2014,1955.06,39.29,0.02009657
8/3/2014,1931.59,38.67,0.020019776
7/27/2014,1925.15,38.79,0.020149079
7/20/2014,1978.34,39.72,0.020077439
7/13/2014,1978.22,39.45,0.01994217
7/6/2014,1967.57,38.92,0.019780745
6/29/2014,1985.44,38.95,0.019617818
6/22/2014,1960.96,38.34,0.019551648
6/15/2014,1962.87,38.09,0.019405259
6/8/2014,1936.16,38.13,0.01969362
6/1/2014,1949.44,38.19,0.019590241
5/25/2014,1923.57,37.82,0.019661359
5/18/2014,1900.53,37.34,0.019647151
5/11/2014,1877.86,36.68,0.019532873
5/4/2014,1878.48,36.33,0.019340105
4/27/2014,1881.14,36.39,0.019344653
4/20/2014,1863.4,35.75,0.01918536
4/13/2014,1864.85,36.03,0.019320589
4/6/2014,1815.69,35.2,0.019386569
3/30/2014,1865.09,35.92,0.019259124
3/23/2014,1857.62,36.07,0.019417319
3/16/2014,1866.52,36.31,0.019453314
3/9/2014,1841.13,35.63,0.019352246
3/2/2014,1878.04,36.42,0.019392558
2/23/2014,1859.45,36.35,0.019548791
2/16/2014,1836.25,35.95,0.019577944
2/9/2014,1838.63,36.07,0.019617868
2/2/2014,1797.02,35.1,0.019532337
1/26/2014,1782.59,34.82,0.019533376
1/19/2014,1790.29,35.13,0.019622519
1/12/2014,1838.7,35.75,0.019443085
1/5/2014,1842.37,35.32,0.019170959
12/29/2013,1831.37,35.22,0.019231504
12/22/2013,1841.4,35.58,0.019322255
12/15/2013,1818.32,34.96,0.019226539
12/8/2013,1775.32,34.2,0.019264133
12/1/2013,1805.09,34.82,0.019289897
11/24/2013,1805.81,34.69,0.019210216
11/17/2013,1804.76,34.16,0.018927724
11/10/2013,1798.18,34.3,0.019074842
11/3/2013,1770.61,33.9,0.019145944
10/27/2013,1761.64,33.66,0.019107196
10/20/2013,1759.77,33.5,0.019036579
10/13/2013,1744.5,33.24,0.01905417
10/6/2013,1703.2,32.45,0.019052372
9/29/2013,1690.5,32.18,0.019035788
9/22/2013,1691.75,32.24,0.019057189
9/15/2013,1709.91,32.41,0.018954214
9/8/2013,1687.99,32.26,0.019111488
9/1/2013,1655.17,31.77,0.019194403
8/25/2013,1632.97,31.4,0.019228767
8/18/2013,1663.5,32.07,0.019278629
8/11/2013,1655.83,31.82,0.019216949
8/4/2013,1691.42,31.97,0.018901278
7/28/2013,1709.67,32.21,0.018839893
7/21/2013,1691.65,31.73,0.018756835
7/14/2013,1692.09,31.45,0.018586482
7/7/2013,1680.19,31.93,0.019003803
6/30/2013,1631.89,31.18,0.01910668
6/23/2013,1606.28,30.59,0.019044002
6/16/2013,1592.43,30.51,0.019159398
6/9/2013,1626.73,31.38,0.019290233
6/2/2013,1643.38,31.73,0.019307768
5/26/2013,1630.74,31.66,0.019414499
5/19/2013,1649.6,31.69,0.019210718
5/12/2013,1667.47,32.2,0.019310692
5/5/2013,1633.7,31.59,0.019336475
4/28/2013,1614.42,31.21,0.01933202
4/21/2013,1582.24,30.04,0.018985742
4/14/2013,1555.25,29.35,0.018871564
4/7/2013,1588.85,30.36,0.01910816
3/31/2013,1553.28,29.73,0.019140142
3/24/2013,1569.19,30.27,0.019290207
3/17/2013,1556.89,30.17,0.019378376
3/10/2013,1560.7,30.2,0.019350292
3/3/2013,1551.18,30.29,0.01952707
2/24/2013,1518.2,29.68,0.019549466
2/17/2013,1515.6,29.69,0.019589601
2/10/2013,1519.79,29.78,0.019594812
2/3/2013,1517.93,29.93,0.019717642
1/27/2013,1513.17,29.73,0.019647495
1/20/2013,1502.96,29.3,0.019494863
1/13/2013,1485.98,29.39,0.019778194
1/6/2013,1472.05,29.59,0.020101219
12/30/2012,1466.47,29.5,0.020116334
12/23/2012,1402.43,28.36,0.020222043
12/16/2012,1430.15,28.95,0.020242632
12/9/2012,1413.58,28.69,0.020295986
12/2/2012,1418.07,28.77,0.020288138
