Date,Close SPX,Close XLK,Price relative
2022-01-14,4662.85,165.76,0.035549074
2022-01-13,4659.03,164.37,0.035279876
2022-01-12,4726.35,168.74,0.035701969
2022-01-11,4713.07,167.95,0.035634947
2022-01-10,4670.29,165.96,0.035535267
2022-01-07,4677.03,165.93,0.035477643
2022-01-06,4696.05,167.47,0.035661886
2022-01-05,4700.58,168.32,0.035808347
2022-01-04,4793.54,173.66,0.036227923
2022-01-03,4796.56,175.52,0.036592892
2021-12-31,4766.18,173.87,0.036479948
2021-12-30,4778.73,174.72,0.036562015
2021-12-29,4793.06,175.88,0.036694721
2021-12-28,4786.35,175.73,0.036714824
2021-12-27,4791.19,176.65,0.036869755
2021-12-23,4725.79,172.94,0.03659494
2021-12-22,4696.56,171.98,0.036618291
2021-12-21,4649.23,169.76,0.036513573
2021-12-20,4568.02,165.57,0.036245463
2021-12-17,4620.64,167.88,0.036332629
2021-12-16,4668.67,169.01,0.036200888
2021-12-15,4709.85,173.94,0.036931112
2021-12-14,4634.09,169.45,0.036565971
2021-12-13,4668.97,172.28,0.036898931
2021-12-10,4712.02,174.88,0.037113595
2021-12-09,4667.45,171.44,0.036730977
2021-12-08,4701.21,173.31,0.036864977
2021-12-07,4686.75,172.52,0.036810156
2021-12-06,4591.67,166.7,0.036304874
2021-12-03,4538.43,165.13,0.036384829
2021-12-02,4577.1,167.94,0.036691355
2021-12-01,4513.04,166.41,0.03687315
2021-11-30,4567,168.72,0.036943289
2021-11-29,4655.27,170.14,0.036547826
2021-11-26,4594.62,165.99,0.036127036
2021-11-24,4701.46,170.24,0.036210028
2021-11-23,4690.7,169.01,0.03603087
2021-11-22,4682.94,169.4,0.036173857
2021-11-19,4697.96,171.31,0.036464763
2021-11-18,4704.54,170.07,0.036150187
2021-11-17,4688.67,168.39,0.035914236
2021-11-16,4700.9,168.9,0.03592929
2021-11-15,4682.8,167.14,0.035692321
2021-11-12,4682.85,167.31,0.035728242
2021-11-11,4649.27,165.3,0.035553969
2021-11-10,4646.71,164.53,0.035407848
2021-11-09,4685.25,167.29,0.035705672
2021-11-08,4701.7,167.98,0.035727503
2021-11-05,4697.53,167.08,0.035567628
2021-11-04,4680.06,166.22,0.035516639
2021-11-03,4660.57,163.66,0.035115876
2021-11-02,4630.65,162.71,0.035137616
2021-11-01,4613.67,161.29,0.034959154
2021-10-29,4605.38,161.53,0.035074196
2021-10-28,4596.42,160.84,0.034992451
2021-10-27,4551.68,159.24,0.034984885
2021-10-26,4574.79,159.38,0.034838758
2021-10-25,4566.48,158.93,0.034803612
2021-10-22,4544.9,158.41,0.034854452
2021-10-21,4549.78,158.96,0.034937953
2021-10-20,4536.19,158.35,0.03490815
2021-10-19,4519.63,158.79,0.035133407
2021-10-18,4486.46,157.23,0.035045448
2021-10-15,4471.37,155.91,0.034868508
2021-10-14,4438.26,154.67,0.034849243
2021-10-13,4363.8,151.26,0.03466245
2021-10-12,4350.65,150.34,0.034555756
2021-10-11,4361.19,151.12,0.034651093
2021-10-08,4391.34,151.96,0.034604472
2021-10-07,4399.76,152.53,0.0346678
2021-10-06,4363.55,151.15,0.034639227
2021-10-05,4345.72,150.17,0.034555839
2021-10-04,4300.46,148.06,0.034428875
2021-10-01,4357.04,151.57,0.034787379
2021-09-30,4307.54,149.32,0.034664797
2021-09-29,4359.46,150.4,0.034499686
2021-09-28,4352.63,150.59,0.034597473
2021-09-27,4443.11,155.19,0.034928237
2021-09-24,4455.48,156.71,0.035172417
2021-09-23,4448.98,156.6,0.035199079
2021-09-22,4395.64,154.53,0.03515529
2021-09-21,4354.19,152.44,0.035009956
2021-09-20,4357.73,152.38,0.034967747
2021-09-17,4432.99,155.48,0.035073393
2021-09-16,4473.75,157.94,0.035303716
2021-09-15,4480.7,157.85,0.03522887
2021-09-14,4443.05,156.48,0.03521905
2021-09-13,4468.73,156.68,0.035061416
2021-09-10,4458.58,156.63,0.035130019
2021-09-09,4493.28,158.19,0.035205907
2021-09-08,4514.07,158.79,0.035176681
2021-09-07,4520.03,159.4,0.035265253
2021-09-03,4535.43,159.36,0.03513669
2021-09-02,4536.95,158.73,0.034986059
2021-09-01,4524.09,158.9,0.035123086
2021-08-31,4522.68,158.86,0.035125191
2021-08-30,4528.79,159.7,0.035263282
2021-08-27,4509.37,158,0.035038154
2021-08-26,4470,156.49,0.035008949
2021-08-25,4496.19,157.48,0.03502521
2021-08-24,4486.23,157.57,0.035123032
2021-08-23,4479.53,157.75,0.035215748
2021-08-20,4441.67,155.74,0.035063388
2021-08-19,4405.8,153.76,0.034899451
2021-08-18,4400.27,152.27,0.034604695
2021-08-17,4448.08,154.4,0.034711606
2021-08-16,4479.71,155.69,0.034754482
2021-08-13,4468,154.99,0.034688899
2021-08-12,4460.83,154.15,0.034556349
2021-08-11,4447.7,153.27,0.034460508
2021-08-10,4436.75,153.25,0.034541049
2021-08-09,4432.35,154.36,0.03482577
2021-08-06,4436.52,154.86,0.034905737
2021-08-05,4429.1,154.99,0.034993565
2021-08-04,4402.66,154.14,0.035010653
2021-08-03,4423.15,153.83,0.034778382
2021-08-02,4387.16,152.85,0.034840307
2021-07-30,4395.26,153.4,0.034901235
2021-07-29,4419.15,153.5,0.034735187
2021-07-28,4400.64,152.79,0.03471995
2021-07-27,4401.46,152.98,0.034756649
2021-07-26,4422.3,154.44,0.034923004
2021-07-23,4411.79,154.52,0.035024333
2021-07-22,4367.48,153,0.035031643
2021-07-21,4358.69,151.88,0.034845332
2021-07-20,4323.06,150.43,0.034797111
2021-07-19,4258.49,148.23,0.034808113
2021-07-16,4327.16,150.3,0.034734098
2021-07-15,4360.03,151.8,0.034816274
2021-07-14,4374.3,153.06,0.034990741
2021-07-13,4369.21,151.94,0.034775165
2021-07-12,4384.63,151.32,0.034511464
2021-07-09,4369.55,151.2,0.034603106
2021-07-08,4320.82,149.82,0.034673974
2021-07-07,4358.13,151.25,0.034705252
2021-07-06,4343.54,150.43,0.034633041
2021-07-02,4352.34,149.86,0.034432053
2021-07-01,4319.94,147.91,0.034238901
2021-06-30,4297.5,147.66,0.034359511
2021-06-29,4291.8,147.82,0.034442425
2021-06-28,4290.61,146.75,0.034202596
2021-06-25,4280.7,145.23,0.033926694
2021-06-24,4266.49,145.4,0.034079536
2021-06-23,4241.84,144.49,0.034063048
2021-06-22,4246.44,144.65,0.034063828
2021-06-21,4224.79,143.35,0.033930681
2021-06-18,4166.45,142.09,0.034103373
2021-06-17,4221.86,143.4,0.033966072
2021-06-16,4223.7,141.76,0.03356299
2021-06-15,4246.59,142.53,0.0335634
2021-06-14,4255.15,143.41,0.03370269
2021-06-11,4247.44,141.97,0.033424839
2021-06-10,4239.18,141.13,0.033291816
2021-06-09,4219.55,140.1,0.033202593
2021-06-08,4227.26,140,0.033118379
2021-06-07,4226.52,139.99,0.033121812
2021-06-04,4229.89,140.02,0.033102516
2021-06-03,4192.85,137.38,0.032765303
2021-06-02,4208.12,138.67,0.032952958
2021-06-01,4202.04,137.72,0.032774557
2021-05-28,4204.11,138.4,0.032920166
2021-05-27,4200.88,137.91,0.032828836
2021-05-26,4195.99,138.64,0.03304107
2021-05-25,4188.13,138.65,0.033105467
2021-05-24,4197.05,138.61,0.033025577
2021-05-21,4155.86,136.19,0.032770594
2021-05-20,4159.12,136.94,0.032925234
2021-05-19,4115.68,134.37,0.032648311
2021-05-18,4127.83,133.9,0.032438351
2021-05-17,4163.29,134.98,0.032421474
2021-05-14,4173.85,135.98,0.032579034
2021-05-13,4112.5,133.05,0.032352584
2021-05-12,4063.04,131.31,0.032318166
2021-05-11,4152.1,135.11,0.03254016
2021-05-10,4188.43,135.52,0.032355799
2021-05-07,4232.6,139.03,0.032847422
2021-05-06,4201.62,137.85,0.032808774
2021-05-05,4167.59,136.48,0.032747943
2021-05-04,4164.66,136.81,0.032850221
2021-05-03,4192.66,139.31,0.033227116
2021-04-30,4181.17,139.7,0.033411701
2021-04-29,4211.47,141.63,0.033629588
2021-04-28,4183.18,141.75,0.033885704
2021-04-27,4186.72,143.08,0.034174724
2021-04-26,4187.62,143.43,0.034250959
2021-04-23,4180.17,142.7,0.034137368
2021-04-22,4134.98,140.6,0.034002583
2021-04-21,4173.42,142.27,0.034089548
2021-04-20,4134.94,140.85,0.034063372
2021-04-19,4163.26,142.11,0.034134308
2021-04-16,4185.47,143.3,0.034237493
2021-04-15,4170.42,143.33,0.034368241
2021-04-14,4124.66,140.91,0.034162816
2021-04-13,4141.59,142.42,0.034387759
2021-04-12,4127.99,141.09,0.034178862
2021-04-09,4128.8,141.77,0.034336853
2021-04-08,4097.17,140.42,0.034272437
2021-04-07,4079.95,138.42,0.033926886
2021-04-06,4073.94,137.69,0.033797749
2021-04-05,4077.91,138.28,0.033909527
2021-04-01,4019.87,135.48,0.033702582
2021-03-31,3972.89,132.81,0.033429065
2021-03-30,3958.55,130.73,0.033024719
2021-03-29,3971.09,131.98,0.033235207
2021-03-26,3974.54,132.67,0.033379963
2021-03-25,3909.52,129.38,0.033093577
2021-03-24,3889.14,129.46,0.033287565
2021-03-23,3910.52,131.05,0.033512167
2021-03-22,3940.59,131.87,0.033464532
2021-03-19,3913.1,129.6,0.033119522
2021-03-18,3915.46,129.99,0.033199164
2021-03-17,3974.12,133.7,0.033642668
2021-03-16,3962.71,133.81,0.033767296
2021-03-15,3968.94,132.81,0.033462335
2021-03-12,3943.34,131.41,0.033324542
2021-03-11,3939.34,132.36,0.033599537
2021-03-10,3898.81,129.59,0.033238347
2021-03-09,3875.44,130.11,0.033572962
2021-03-08,3821.35,125.83,0.032928154
2021-03-05,3841.94,128.95,0.033563772
2021-03-04,3768.47,126.56,0.033583921
2021-03-03,3819.72,129.42,0.033882065
2021-03-02,3870.29,132.76,0.034302339
2021-03-01,3901.82,134.9,0.034573609
2021-02-26,3811.15,130.69,0.034291487
2021-02-25,3829.34,130,0.033948409
2021-02-24,3925.43,134.71,0.03431726
